,For,Party,Title(s),address,link,name,office
143,"Lingiari, Northern Territory",Australian Labor Party,,"Shop 12, 465 Stuart Highway
                                             Cooalinga, NT, 0835",/Senators_and_Members/Parliamentarian?MPID=IJ4,Hon Warren Snowdon MP,2.0
144,"Werriwa, New South Wales",Australian Labor Party,,"Suite 1, Level 1 Oxford Street
                                             Ingleburn, NSW, 2565",/Senators_and_Members/Parliamentarian?MPID=265990,Ms Anne Stanley MP,1.0
145,"Gilmore, New South Wales",Liberal Party of Australia,,"Suite 3
                                             59 Junction Street
                                                 Nowra, NSW, 2541",/Senators_and_Members/Parliamentarian?MPID=241586,Mrs Ann Sudmalis MP,1.0
146,"Deakin, Victoria",Liberal Party of Australia,,"5/602 Whitehorse Road
                                             Mitcham, VIC, 3132",/Senators_and_Members/Parliamentarian?MPID=242515,Mr Michael Sukkar MP,1.0
147,"Lilley, Queensland",Australian Labor Party,,"1162 Sandgate Road
                                             Nundah, QLD, 4012",/Senators_and_Members/Parliamentarian?MPID=2V5,Hon Wayne Swan MP,1.0
148,"Paterson, New South Wales",Australian Labor Party,,"35 Sturgeon Street
                                             Raymond Terrace, NSW, 2324",/Senators_and_Members/Parliamentarian?MPID=264170,Ms Meryl Swanson MP,1.0
149,"Hume, New South Wales",Liberal Party of Australia,Assistant Minister for Cities and Digital Transformation,"191 Auburn Street
                                             Goulburn, NSW, 2580",/Senators_and_Members/Parliamentarian?MPID=231027,Hon Angus Taylor MP,1.0
150,"Hume, New South Wales",Liberal Party of Australia,Assistant Minister for Cities and Digital Transformation,"Suite 2 A, 190 Argyle Street
                                             Camden, NSW, 2570",/Senators_and_Members/Parliamentarian?MPID=231027,Hon Angus Taylor MP,2.0
151,"Wannon, Victoria",Liberal Party of Australia,Minister for Veterans' Affairs,"190 Gray Street
                                             Hamilton, VIC, 3300",/Senators_and_Members/Parliamentarian?MPID=210911,Hon Dan Tehan MP,1.0
152,"Wannon, Victoria",Liberal Party of Australia,Minister for Veterans' Affairs,"73 Kepler Street
                                             Warrnambool, VIC, 3280",/Senators_and_Members/Parliamentarian?MPID=210911,Hon Dan Tehan MP,2.0
153,"Macquarie, New South Wales",Australian Labor Party,,"Shop 24, Riverview Shopping Centre
                                             227 George Street, Windsor
                                                 Windsor, NSW, 2756",/Senators_and_Members/Parliamentarian?MPID=181810,Ms Susan Templeman MP,1.0
154,"Kingsford Smith, New South Wales",Australian Labor Party,,"Shop 6
                                             205 Maroubra Road
                                                 Maroubra, NSW, 2035",/Senators_and_Members/Parliamentarian?MPID=182468,Hon Matt Thistlethwaite MP,1.0
155,"Aston, Victoria",Liberal Party of Australia,Minister for Human Services,"Suite 4, Level 1
                                             420 Burwood Highway
                                                 Wantirna South, VIC, 3152",/Senators_and_Members/Parliamentarian?MPID=M2Y,Hon Alan Tudge MP,1.0
156,"Wentworth, New South Wales",Liberal Party of Australia,Prime Minister,"Ground Floor, 287-289 New South Head Road (Corner Edgecliff Road)
                                             Edgecliff, NSW, 2027",/Senators_and_Members/Parliamentarian?MPID=885,Hon Malcolm Turnbull MP,1.0
157,"Calwell, Victoria",Australian Labor Party,,"Shop M0004, 80 Taylors Road
                                             Keilor Downs, VIC, 3038",/Senators_and_Members/Parliamentarian?MPID=00AMT,Ms Maria Vamvakinou MP,1.0
158,"Forde, Queensland",Liberal Party of Australia,Government Whip,"Tenancy 4/96 George Street
                                             Beenleigh, QLD, 4207",/Senators_and_Members/Parliamentarian?MPID=188315,Mr Bert van Manen MP,1.0
159,"Bonner, Queensland",Liberal Party of Australia,,"69 Clara Street
                                             Wynnum, QLD, 4178",/Senators_and_Members/Parliamentarian?MPID=E0D,Mr Ross Vasta MP,1.0
160,"Fisher, Queensland",Liberal Party of Australia,,"'The Edge' Upper Level East, Unit 11
                                             10 Lake Kawana Boulevard
                                                 Bokarina, QLD, 4575",/Senators_and_Members/Parliamentarian?MPID=265967,Mr Andrew Wallace MP,1.0
161,"Gellibrand, Victoria",Australian Labor Party,,"97 Geelong Road
                                             Footscray, VIC, 3011",/Senators_and_Members/Parliamentarian?MPID=193430,Mr Tim Watts MP,1.0
162,"Robertson, New South Wales",Liberal Party of Australia,,"Level 3
                                             69 Central Coast Highway
                                                 West Gosford, NSW, 2250",/Senators_and_Members/Parliamentarian?MPID=241590,Mrs Lucy Wicks MP,1.0
163,"Denison, Tasmania",Independent,,"188 Collins Street
                                             Hobart, TAS, 7001",/Senators_and_Members/Parliamentarian?MPID=C2T,Mr Andrew Wilkie MP,1.0
164,"Fremantle, Western Australia",Australian Labor Party,,"62 Wray Avenue
                                             Fremantle, WA, 6160",/Senators_and_Members/Parliamentarian?MPID=265970,Mr Josh Wilson MP,1.0
165,"O'Connor, Western Australia",Liberal Party of Australia,,"345 Hannan Street
                                             Kalgoorlie, WA, 6430",/Senators_and_Members/Parliamentarian?MPID=198084,Mr Rick Wilson MP,1.0
166,"O'Connor, Western Australia",Liberal Party of Australia,,"Shop 5, The Link Shopping Centre
                                             St Emilie Way
                                                 Albany, WA, 6330",/Senators_and_Members/Parliamentarian?MPID=198084,Mr Rick Wilson MP,2.0
167,"Goldstein, Victoria",Liberal Party of Australia,,"368 Centre Road
                                             Bentleigh, VIC, 3204",/Senators_and_Members/Parliamentarian?MPID=IMW,Mr Tim Wilson MP,1.0
168,"La Trobe, Victoria",Liberal Party of Australia,,"Unit 3
                                             16 Langmore Lane
                                                 Berwick, VIC, 3806",/Senators_and_Members/Parliamentarian?MPID=E0F,Mr Jason Wood MP,1.0
169,"Hasluck, Western Australia",Liberal Party of Australia,Assistant Minister for Health and Aged Care,"Shop 10-12 Forrestfield Marketplace, 80 Hale Road
                                             Forrestfield, WA, 6058",/Senators_and_Members/Parliamentarian?MPID=M3A,"Hon Ken Wyatt AM, MP",1.0
170,"Makin, South Australia",Australian Labor Party,,"959 North East Road
                                             Modbury, SA, 5092",/Senators_and_Members/Parliamentarian?MPID=HWB,Mr Tony Zappia MP,1.0
171,"North Sydney, New South Wales",Liberal Party of Australia,,"Level 10, 2 Elizabeth Plaza
                                             North Sydney, NSW, 2060",/Senators_and_Members/Parliamentarian?MPID=203092,Mr Trent Zimmerman MP,1.0
